periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-09T00:00:00Z,6,1097
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-09T00:00:00Z,3,586
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-09T00:00:00Z,2,320
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-09T00:00:00Z,2,145
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-09T00:00:00Z,4,857
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-09T00:00:00Z,3,342
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-09T00:00:00Z,5,592
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-09T00:00:00Z,4,712
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-09T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-09T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-10T00:00:00Z,4,811
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-10T00:00:00Z,4,993
201401,"RUTE 3","TMII - GANDARIA",2014-01-10T00:00:00Z,4,1004
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-10T00:00:00Z,5,972
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-10T00:00:00Z,4,709
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-10T00:00:00Z,4,621
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-10T00:00:00Z,6,1085
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-10T00:00:00Z,3,490
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-10T00:00:00Z,3,470
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-10T00:00:00Z,2,236
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-10T00:00:00Z,4,912
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-10T00:00:00Z,4,475
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-10T00:00:00Z,5,594
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-10T00:00:00Z,4,676
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-10T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-10T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-15T00:00:00Z,4,825
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-15T00:00:00Z,4,932
201401,"RUTE 3","TMII - GANDARIA",2014-01-15T00:00:00Z,5,1069
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-15T00:00:00Z,5,840
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-15T00:00:00Z,4,653
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-15T00:00:00Z,4,609
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-15T00:00:00Z,5,874
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-15T00:00:00Z,4,601
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-15T00:00:00Z,3,423
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-15T00:00:00Z,2,209
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-15T00:00:00Z,4,891
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-15T00:00:00Z,4,446
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-15T00:00:00Z,4,485
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-15T00:00:00Z,4,585
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-15T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-15T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-16T00:00:00Z,4,828
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-16T00:00:00Z,4,969
201401,"RUTE 3","TMII - GANDARIA",2014-01-16T00:00:00Z,5,1095
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-16T00:00:00Z,5,885
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-16T00:00:00Z,4,733
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-16T00:00:00Z,4,632
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-16T00:00:00Z,5,885
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-16T00:00:00Z,4,751
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-16T00:00:00Z,3,427
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-16T00:00:00Z,2,271
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-16T00:00:00Z,4,855
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-16T00:00:00Z,4,469
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-16T00:00:00Z,4,491
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-16T00:00:00Z,4,612
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-16T00:00:00Z,0,0
